"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"KiCad-Logo2_5mm_SilkScreen";1;"KiCad-Logo2_5mm_SilkScreen";;;
2;"GPL";"Symbol_GNU-GPL_SilkScreen_Small";1;"Symbol_GNU-GPL_CopperTop_Small";;;
3;"LOGO";"ABEX_Logo_22mmx11mm_WB";1;"LOGO";;;
4;"C1,C7,C8,C9";"C_1206_HandSoldering";4;"10u";;;
5;"C2";"C_1206_HandSoldering";1;"100n";;;
6;"C3";"TantalC_SizeA_EIA-3216_HandSoldering";1;"22u";;;
7;"CART1";"ATARI-LEFT-CARTRIDGE";1;"ATARI-CARTRIDGE";;;
8;"CART2";"TE_5530843-2_15X2_CART_EDGE_CONNECTOR";1;"ATARI-CARTRIDGE";;;
9;"D1";"LED_1206";1;"LED GREEN";;;
10;"ECI1";"ATARI-XE-ECI-SLOT";1;"ECIBUS";;;
11;"R1";"R_1210_HandSoldering";1;"1.5K";;;
12;"R2,R4,R3";"R_1210_HandSoldering";3;"0";;;
13;"U1,U3,U4,U5,U6";"SSOP-20_4.4x6.5mm_Pitch0.65mm";5;"TXB0108-PW";;;
14;"W1,W2,GND1,VCC_5V1";"Pin_Header_Straight_1x01";4;"TEST_1P";;;
15;"J4,J5,J6,J7";"MountingHole_3mm";4;"Conn_01x01";;;
16;"ECI2";"ECI_BUS_7X2_EDGE_CONNECTOR";1;"ECIBUS";;;
17;"P1";"Pin_Header_Angled_1x04";1;"CONN_01X04";;;
18;"C4,C5,C6";"CP_Radial_D10.0mm_P2.50mm_3D";3;"10u";;;
19;"U2";"MCP_1827S_TO-220-3_Horizontal_TabDown";1;"MCP1827S-1.5A-TO-220-3";;;
20;"J1,J2,J3";"MOLEX_0877159106";3;"0877159106";;;
21;"ATARILOGO";"atari_fuji_SilkScreen_21.2x25-Rev";1;"LOGO";;;
